id,title,isbn,page_count,publishing_date,form,publisher,language,author,illustrator,originally_published,genres,subject,awards,nominations,characters,description,sub_title
tmmOvqV4MboC,The 48 laws of power,"9780140280197, 0140280197",452,"September 1, 2000",Paperback,Penguin Publishing Group,English,"רוברט גרין, Joost Elffers",,1998,,"Business & Economics / Leadership, Business & Economics / Motivational, Career development, Control (Psychology)., Dominance (Psychology), Manipulative behavior, Power (Philosophy)., Self-Help / Personal Growth / Success",,,,"Amoral, cunning, ruthless, and instructive, this multi-million-copy New York Times bestseller is the definitive manual for anyone interested in gaining, observing, or defending against ultimate control – from the author of The Laws of Human Nature.

In the book that People magazine proclaimed “beguiling” and “fascinating,” Robert Greene and Joost Elffers have distilled three thousand years of the history of power into 48 essential laws by drawing from the philosophies of Machiavelli, Sun Tzu, and Carl Von Clausewitz and also from the lives of figures ranging from Henry Kissinger to P.T. Barnum.
 
Some laws teach the need for prudence (“Law 1: Never Outshine the Master”), others teach the value of confidence (“Law 28: Enter Action wi...",
xqVXsEaWaJMC,Fire Sea,"9780553295412, 0553295411",410,February 1992,Paperback,Random House Worlds,English,"Margaret Weis, Tracy Hickman",,August 1991,"Fantasy, Fantasy Fiction, Science fiction","Fiction / Fantasy / Action & Adventure, Fiction / Fantasy / Dragons & Mythical Creatures, Fiction / Fantasy / Epic, Death Gate Universe (Imaginary place) -- Fiction, Magic -- Fiction",,,"Haplo, Jera, Prince Edmund, Baltazar, Alfred, Sartan, Jonathan, Kleitus XIV","Abarrach, the Realm of stone. Here, on a barren  world of underground caverns built around a core of  molten lava, the lesser races -- humans, elves,  and dwarves -- seem to have all died off. Here, too,  what may well be the last remnants of the once  powerful Sartan still struggle to survive. For Haplo  and Alfred -- enemies by heritage, traveling  companions by necessity -- Abarrach may reveal more than  either dares to discover about the history of  Sartan... and the future of all their descendants.","The Death Gate Cycle, Volume 3"
rsgcHVre3bgC,The Gate of Fire,"9780812590104, 0812590104",736,"June 18, 2001",Paperback,Tom Doherty Associates,English,Thomas Harlan,,2000,"Fantasy Fiction, Alternate history, High fantasy, Historical fantasy","Fiction / Fantasy / Epic, Iran -- Fiction -- History, Rome (Italy) -- Fiction, Rome -- Fiction, Rome -- Fiction -- History",,Locus Award for Best Fantasy Novel,,"The Persian sorcerer has withdrawn to a hidden citadel of the King of Kings and a very special new servant. He vows to regain the Peacock throne.

Prince Maxian has raised both Julius Ceasar and Alexander the great from the dead. Now, with the power that their legends can offer him, he will risk all to free Rome from the curse that protects the Empire but dooms it to stagnation.

And in the East, Dwyrin's thaumaturgic unit is shattered when Zo discovers the destruction of Palmyra. She vows revenge against the Empire that abandoned her city to its fate and goes to raise the Deccopolis against Rome, while in the city of Mecca, a survivor of Plamyra received a vision, a command, and the power to strive against the forces of darkness.

The war is far from over. Now there are three alliances where once there were only two, and three Powers to strive for control of the Earth.",
EY1EDwAAQBAJ,Tides of War,"9780553381399, 0553381393",448,"August 28, 2001",Paperback,Random House Publishing Group,English,Steven Pressfield,,"December 31, 1989","Novel, Historical Fiction, War story, Biographical Fiction","Fiction / Historical / General, Fiction / Political, Fiction / War & Military, Athens (Greece) -- Fiction, Biographical fiction, Generals -- Fiction, Greece -- Fiction -- History -- Peloponnesian War, 431-404 B.C, Statesmen -- Fiction, Alcibiades -- Fiction, Historical fiction",,,,"Brilliant at war, a master of politics, and a charismatic lover, Alcibiades was Athens’ favorite son and the city’s greatest general.

A prodigal follower of Socrates, he embodied both the best and the worst of the Golden Age of Greece. A commander on both land and sea, he led his armies to victory after victory.

But like the heroes in a great Greek tragedy, he was a victim of his own pride, arrogance, excess, and ambition. Accused of crimes against the state, he was banished from his beloved Athens, only to take up arms in the service of his former enemies.

For nearly three decades, Greece burned with war and Alcibiades helped bring victories to both sides — and ended up trusted by neither.

Narrated from death row by Alcibiades’ bodyguard and assassin...",A Novel
fNHF-hAPJdgC,Phaedrus,,160,1973,Paperback,Penguin,English,,,,,"Dialectic -- Early works to 1800, Dialogues, Greek -- Translations into English, Love, Love -- Early works to 1800, Philosophy / History & Surveys / Ancient & Classical, Rhetoric -- Early works to 1800, Rhetoric, Ancient, Soul -- Early works to 1800, Philosophy, Ancient",,,,"Set in the idyllic countryside outside Athens, the Phraedrusis a dialogue between the philosopher Socrates and his friend Phaedrus, inspired by their reading of a clumsy speech by the writer Lysias on the nature of love. Their conversation develops into a wide-ranging discussion on such subjects as the pursuit of beauty, the immortality of the soul and the attainment of truth, and ends with an in-depth consideration of the principles of rhetoric. Probably a work of Plato's maturity, the Phaedrusrepresents a high point in his achievement as a writer. This volume also contains two of his letters, which discuss his involvement in politics, in particular his role as adviser to Dionysius II of Syracuse, which are crucial documents for our understanding of Plato's life and career.","And, The Seventh and Eighth Letters"
A6fWAAAAMAAJ,Enthusiasm and Divine Madness,"9781890318239, 189031823X",109,2000,Paperback,St. Augustine's Press,English,Josef Pieper,,1962,,"Love, Rhetoric, Ancient, Soul",,,,"Plato's famous dialogue, the Phaedrus, was variously subtitled in antiquity: ""On Beauty"", ""On Love"", ""On the Psyche"". It is also concerned with the art of rhetoric, of thought and communication.
Pieper, noted for the grace and clarity of his style, gives an illuminating and stimulating interpretation of the dialogue. Leaving the more recondite scholarly preoccupations aside, he concentrates on the content, bringing the actual situation in the dialogue -- Athens and its intellectuals engaged in spirited debate -- alive. Equally alive is the discussion of ideas, which are brought to bear on contemporary experience and made to prove the perennial validity of Socratic wisdom, and its power to excite the mind. The main thesis -- that in poetry and in love man is ""beside himself"", that is, divinely inspired -- is discussed with reference to modern poets, novelists, and modern psychology.",On the Platonic Dialogue Phaedrus
vBmKQgAACAAJ,"""Gorgias"" and ""Phaedrus""","9780801435300, 0801435307",233,"September 24, 1998",Hardcover,Cornell University Press,English,"Plato, James H. Nichols Jr.",,"September 24, 1998",,"Language Arts & Disciplines / Rhetoric, Philosophy / History & Surveys / Ancient & Classical, Philosophy / Political, Ethics -- Early works to 1800, Ethics, Ancient, Love, Love -- Early works to 1800, Political science -- Early works to 1800, Rhetoric -- Early works to 1800, Rhetoric, Ancient",,,,"With a masterful sense of the place of rhetoric in both thought and practice and an ear attuned to the clarity, natural simplicity, and charm of Plato's Greek prose, James H. Nichols Jr., offers precise yet unusually readable translations of two great Platonic dialogues on rhetoric.
The Gorgias presents an intransigent argument that justice is superior to injustice: To the extent that suffering an injustice is preferable to committing an unjust act. The dialogue contains some of Plato's most significant and famous discussions of major political themes, and focuses dramatically and with unrivaled intensity on Socrates as a political thinker and actor. Featuring some of Plato's most soaringly lyrical passages, the Phaedrus investigates the soul's erotic longing and its relations...","Rhetoric, Philosophy, and Politics"
x4OMEAAAQBAJ,Gorgias,"9780140449044, 0140449043",155,"January 29, 2004",Paperback,Penguin Publishing Group,English,Plato,,,,"Literary Collections / Ancient & Classical, Philosophy / Ethics & Moral Philosophy, Philosophy / History & Surveys / Ancient & Classical, Ethics -- Early works to 1800, Political science -- Early works to 1800",,,,"The classic political dialogue, as relevant today as in Plato's time

Taking the form of a dialogue between Socrates, Gorgias, Polus and Callicles, Gorgias debates perennial questions about the nature of government and those who aspire to public office. Are high moral standards essential or should we give our preference to the pragmatist who gets things done or negotiates successfully? Should individuals be motivated by a desire for personal power and prestige, or genuine concern for the moral betterment of the citizens? These questions go to the heart of Athenian democratic principles and are more relevant than ever in today's political climate.

For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With...",Revised Edition
QfSCQgAACAAJ,The History,"9780226327709, 0226327701",699,"March 15, 1987",Hardcover,University of Chicago Press,English,Herodotus,,,,"History / Ancient / General, History / Ancient / Greece, History / General, Greece -- History, Greece -- History -- To 146 B.C., History, Ancient",,,,"David Grene, one of the best known translators of the Greek classics, splendidly captures the peculiar quality of Herodotus, the father of history.

Here is the historian, investigating and judging what he has seen, heard, and read, and seeking out the true causes and consequences of the great deeds of the past. In his History, the war between the Greeks and Persians, the origins of their enmity, and all the more general features of the civilizations of the world of his day are seen as a unity and expressed as the vision of one man who as a child lived through the last of the great acts in this universal drama.

In Grene's remarkable translation and commentary, we see the historian as a storyteller, combining through his own narration the skeletal ""historical"" facts ...",
8IVPEAAAQBAJ,The Iliad,"9780140275360, 0140275363",683,1998,Paperback,Penguin Publishing Group,English,Homer,,,"Epic poetry, Poetry, Epic","Achilles (Greek mythology) -- Poetry, more",,,"Achilles, Hector, Agamemnon, Patroclus, Menelaus, Priam, Paris, Helen of Troy, Andromache, Aeneas, Briseis, Aphrodite, Chryseis, Ajax Petropolus, Nestor, Chryses of Troy, Hephaestus, Ares, Thersites, Hecuba, Cassandra, Artemis, Hermes, Astyanax, Pandarus, Deiphobus, Idomeneus of Crete, Polydamas, Euphorbus, Dolon, Antenor of Troy, Eris, Amazons, Glaucus, Ajax the Lesser, Phoenix, Polydorus of Troy, Apollo, Agenor of Troy, Hera, Hades, Athena, Odysseus, Diomedes","The great war epic of Western literature, translated by acclaimed classicist Robert Fagles, and featured in the Netflix series The OA

A Penguin Classic
 
Dating to the ninth century B.C., Homer’s timeless poem still vividly conveys the horror and heroism of men and gods wrestling with towering emotions and battling amidst devastation and destruction, as it moves inexorably to the wrenching, tragic conclusion of the Trojan War. Renowned classicist Bernard Knox observes in his superb introduction that although the violence of the Iliad is grim and relentless, it coexists with both images of civilized life and a poignant yearning for peace.
 
Combining the skills of a poet and scholar, Robert Fagles, winner of the PEN/Ralph Manheim Medal for Tran...",(Penguin Classics Deluxe Edition)
zNtfAAAAMAAJ,Iliad,"9780872203525, 0872203522",516,1997,Paperback,Hackett Publishing Company,English,Homer,,,"Epic poetry, Poetry, Epic","Achilles (Greek mythology) -- Poetry, more",,,"Achilles, Hector, Agamemnon, Patroclus, Menelaus, Priam, Paris, Helen of Troy, Andromache, Aeneas, Briseis, Aphrodite, Chryseis, Ajax Petropolus, Nestor, Chryses of Troy, Hephaestus, Ares, Thersites, Hecuba, Cassandra, Artemis, Hermes, Astyanax, Pandarus, Deiphobus, Idomeneus of Crete, Polydamas, Euphorbus, Dolon, Antenor of Troy, Eris, Amazons, Glaucus, Ajax the Lesser, Phoenix, Polydorus of Troy, Apollo, Agenor of Troy, Hera, Hades, Athena, Odysseus, Diomedes","""Gripping... Lombardo's achievement is all the more striking when you consider the difficulties of his task... (He) manages to be respectful of Homer's dire spirit while providing on nearly every page some wonderfully fresh refashioning of his Greek. The result is a vivid and disarmingly hardbitten reworking of a great classic."" — Daniel Mendelsohn, The New York Times Book Review",
